theta	r11
0.00000000000000	27.8606997290727
1.00000000000000	27.5187613387120
2.00000000000000	27.2408131352686
3.00000000000000	27.0264006472855
4.00000000000000	26.8746107496019
5.00000000000000	26.7841099268641
6.00000000000000	26.7531938898851
7.00000000000000	26.7798450343849
8.00000000000000	26.8617940446979
9.00000000000000	26.9965821428415
10.0000000000000	27.1816209773346
11.0000000000000	27.4142478207391
12.0000000000000	27.6917744840631
13.0000000000000	28.0115290637118
14.0000000000000	28.3708902464770
15.0000000000000	28.7673143754586
16.0000000000000	29.1983558167543
17.0000000000000	29.6616813740952
18.0000000000000	30.1550795979779
19.0000000000000	30.6764658529501
20.0000000000000	31.2238839665858
21.0000000000000	31.7955052081258
22.0000000000000	32.3896252508497
23.0000000000000	33.0046596725762
24.0000000000000	33.6391384517090
25.0000000000000	34.2916998270821
26.0000000000000	34.9610838111880
27.0000000000000	35.6461255791197
28.0000000000000	36.3457488995141
29.0000000000000	37.0589597281024
30.0000000000000	37.7848400479751
31.0000000000000	38.5225420119922
32.0000000000000	39.2712824206808
33.0000000000000	40.0303375522493
34.0000000000000	40.7990383489574
35.0000000000000	41.5767659551276
36.0000000000000	42.3629475958249
37.0000000000000	43.1570527810251
38.0000000000000	43.9585898174741
39.0000000000000	44.7671026089887
40.0000000000000	45.5821677253771
41.0000000000000	46.4033917201952
42.0000000000000	47.2304086780388
43.0000000000000	48.0628779728516
44.0000000000000	48.9004822196942
45.0000000000000	49.7429254034886
46.0000000000000	50.5899311693847
47.0000000000000	51.4412412605249
48.0000000000000	52.2966140900963
49.0000000000000	53.1558234356271
50.0000000000000	54.0186572445121
51.0000000000000	54.8849165406957
52.0000000000000	55.7544144233454
53.0000000000000	56.6269751491603
54.0000000000000	57.5024332907338
55.0000000000000	58.3806329640738
56.0000000000000	59.2614271190320
57.0000000000000	60.1446768869636
58.0000000000000	61.0302509804764
59.0000000000000	61.9180251406028
60.0000000000000	62.8078816271605
61.0000000000000	63.6997087484666
62.0000000000000	64.5934004269227
63.0000000000000	65.4888557973068
64.0000000000000	66.3859788349049
65.0000000000000	67.2846780108722
66.0000000000000	68.1848659724520
67.0000000000000	69.0864592458961
68.0000000000000	69.9893779601209
69.0000000000000	70.8935455893060
70.0000000000000	71.7988887128071
71.0000000000000	72.7053367908837
72.0000000000000	73.6128219548839
73.0000000000000	74.5212788106326
74.0000000000000	75.4306442538813
75.0000000000000	76.3408572967670
76.0000000000000	77.2518589043141
77.0000000000000	78.1635918400901
78.0000000000000	79.0760005201930
79.0000000000000	79.9890308748114
80.0000000000000	80.9026302166541
81.0000000000000	81.8167471155943
82.0000000000000	82.7313312789220
83.0000000000000	83.6463334366324
84.0000000000000	84.5617052312213
85.0000000000000	85.4773991114831
86.0000000000000	86.3933682298404
87.0000000000000	87.3095663427567
88.0000000000000	88.2259477138046
89.0000000000000	89.1424670189839
90.0000000000000	90.0590792538950
91.0000000000000	90.9757396423924
92.0000000000000	91.8924035463459
93.0000000000000	92.8090263761584
94.0000000000000	93.7255635016778
95.0000000000000	94.6419701631646
96.0000000000000	95.5582013819599
97.0000000000000	96.4742118705163
98.0000000000000	97.3899559414352
99.0000000000000	98.3053874151655
100.000000000000	99.2204595259989
101.000000000000	100.135124826000
102.000000000000	101.049335086494
103.000000000000	101.963041196716
104.000000000000	102.876193059236
105.000000000000	103.788739481707
106.000000000000	104.700628064537
107.000000000000	105.611805083989
108.000000000000	106.522215370241
109.000000000000	107.431802179889
110.000000000000	108.340507062349
111.000000000000	109.248269719590
112.000000000000	110.155027858572
113.000000000000	111.060717035756
114.000000000000	111.965270492988
115.000000000000	112.868618984009
116.000000000000	113.770690590816
117.000000000000	114.671410529033
118.000000000000	115.570700941379
119.000000000000	116.468480678288
120.000000000000	117.364665064650
121.000000000000	118.259165651577
122.000000000000	119.151889952031
123.000000000000	120.042741159063
124.000000000000	120.931617845346
125.000000000000	121.818413642583
126.000000000000	122.703016899315
127.000000000000	123.585310315522
128.000000000000	124.465170552383
129.000000000000	125.342467815413
130.000000000000	126.217065409167
131.000000000000	127.088819261593
132.000000000000	127.957577416062
133.000000000000	128.823179489057
134.000000000000	129.685456091463
135.000000000000	130.544228211401
136.000000000000	131.399306556574
137.000000000000	132.250490854163
138.000000000000	133.097569106447
139.000000000000	133.940316800519
140.000000000000	134.778496070727
141.000000000000	135.611854812910
142.000000000000	136.440125749963
143.000000000000	137.263025448995
144.000000000000	138.080253291180
145.000000000000	138.891490396494
146.000000000000	139.696398506946
147.000000000000	140.494618833500
148.000000000000	141.285770874025
149.000000000000	142.069451211997
150.000000000000	142.845232308647
151.000000000000	143.612661304715
152.000000000000	144.371258851968
153.000000000000	145.120517999342
154.000000000000	145.859903163835
155.000000000000	146.588849222170
156.000000000000	147.306760765797
157.000000000000	148.013011568738
158.000000000000	148.706944325103
159.000000000000	149.387870720418
160.000000000000	150.055071907936
161.000000000000	150.707799467266
162.000000000000	151.345276927358
163.000000000000	151.966701938313
164.000000000000	152.571249175699
165.000000000000	153.158074056049
166.000000000000	153.726317331847
167.000000000000	154.275110617615
168.000000000000	154.803582874784
169.000000000000	155.310867851363
170.000000000000	155.796112433111
171.000000000000	156.258485816594
172.000000000000	156.697189363080
173.000000000000	157.111466938024
174.000000000000	157.500615487987
175.000000000000	157.863995559363
176.000000000000	158.201041426364
177.000000000000	158.511270474213
178.000000000000	158.794291481586
179.000000000000	159.049811466770
180.000000000000	159.277640805653
181.000000000000	159.477696394957
182.000000000000	159.650002717004
183.000000000000	159.794690756760
184.000000000000	159.911994820435
185.000000000000	160.002247399281
186.000000000000	160.065872305218
187.000000000000	160.103376370165
188.000000000000	160.115340044562
189.000000000000	160.102407251087
190.000000000000	160.065274847587
191.000000000000	160.004682031765
192.000000000000	159.921399983241
193.000000000000	159.816221991175
194.000000000000	159.689954262623
195.000000000000	159.543407552744
196.000000000000	159.377389706418
197.000000000000	159.192699154590
198.000000000000	158.990119369313
199.000000000000	158.770414249798
200.000000000000	158.534324387874
201.000000000000	158.282564144511
202.000000000000	158.015819458768
203.000000000000	157.734746305440
204.000000000000	157.439969716979
205.000000000000	157.132083287591
206.000000000000	156.811649082214
207.000000000000	156.479197879195
208.000000000000	156.135229682507
209.000000000000	155.780214446688
210.000000000000	155.414592964992
211.000000000000	155.038777878192
212.000000000000	154.653154767999
213.000000000000	154.258083304974
214.000000000000	153.853898426091
215.000000000000	153.440911521761
216.000000000000	153.019411616190
217.000000000000	152.589666528361
218.000000000000	152.151924003918
219.000000000000	151.706412810636
220.000000000000	151.253343792257
221.000000000000	150.792910877113
222.000000000000	150.325292039340
223.000000000000	149.850650211582
224.000000000000	149.369134148949
225.000000000000	148.880879244677
226.000000000000	148.386008298455
227.000000000000	147.884632238793
228.000000000000	147.376850801062
229.000000000000	146.862753163059
230.000000000000	146.342418540074
231.000000000000	145.815916741503
232.000000000000	145.283308691079
233.000000000000	144.744646912821
234.000000000000	144.199975984708
235.000000000000	143.649332962118
236.000000000000	143.092747772934
237.000000000000	142.530243586188
238.000000000000	141.961837156042
239.000000000000	141.387539142784
240.000000000000	140.807354412473
241.000000000000	140.221282316758
242.000000000000	139.629316954331
243.000000000000	139.031447415377
244.000000000000	138.427658010321
245.000000000000	137.817928484100
246.000000000000	137.202234217100
247.000000000000	136.580546413854
248.000000000000	135.952832280532
249.000000000000	135.319055192180
250.000000000000	134.679174850644
251.000000000000	134.033147434028
252.000000000000	133.380925738530
253.000000000000	132.722459313425
254.000000000000	132.057694589965
255.000000000000	131.386575004880
256.000000000000	130.709041119201
257.000000000000	130.025030733041
258.000000000000	129.334478996985
259.000000000000	128.637318520700
260.000000000000	127.933479479377
261.000000000000	127.222889718577
262.000000000000	126.505474858085
263.000000000000	125.781158395307
264.000000000000	125.049861808812
265.000000000000	124.311504662549
266.000000000000	123.566004711314
267.000000000000	122.813278008031
268.000000000000	122.053239013408
269.000000000000	121.285800708538
270.000000000000	120.510874711039
271.000000000000	119.728371395311
272.000000000000	118.938200017521
273.000000000000	118.140268845948
274.000000000000	117.334485297301
275.000000000000	116.520756079699
276.000000000000	115.698987342969
277.000000000000	114.869084836983
278.000000000000	114.030954078755
279.000000000000	113.184500529074
280.000000000000	112.329629779450
281.000000000000	111.466247750215
282.000000000000	110.594260900641
283.000000000000	109.713576451975
284.000000000000	108.824102624358
285.000000000000	107.925748888604
286.000000000000	107.018426233904
287.000000000000	106.102047452545
288.000000000000	105.176527442814
289.000000000000	104.241783531302
290.000000000000	103.297735815903
291.000000000000	102.344307530862
292.000000000000	101.381425435335
293.000000000000	100.409020226956
294.000000000000	99.4270269820618
295.000000000000	98.4353856242687
296.000000000000	97.4340414232394
297.000000000000	96.4229455255818
298.000000000000	95.4020555199557
299.000000000000	94.3713360385983
300.000000000000	93.3307593976424
301.000000000000	92.2803062787641
302.000000000000	91.2199664548888
303.000000000000	90.1497395628880
304.000000000000	89.0696359264279
305.000000000000	87.9796774323860
306.000000000000	86.8798984645237
307.000000000000	85.7703468984225
308.000000000000	84.6510851620260
309.000000000000	83.5221913665138
310.000000000000	82.3837605126538
311.000000000000	81.2359057782458
312.000000000000	80.0787598927848
313.000000000000	78.9124766060344
314.000000000000	77.7372322578371
315.000000000000	76.5532274571527
316.000000000000	75.3606888790722
317.000000000000	74.1598711893519
318.000000000000	72.9510591068675
319.000000000000	71.7345696153027
320.000000000000	70.5107543363317
321.000000000000	69.2800020775229
322.000000000000	68.0427415691542
323.000000000000	66.7994444050385
324.000000000000	65.5506282032727
325.000000000000	64.2968600034491
326.000000000000	63.0387599172070
327.000000000000	61.7770050489219
328.000000000000	60.5123337026350
329.000000000000	59.2455498897784
330.000000000000	57.9775281495546
331.000000000000	56.7092186895717
332.000000000000	55.4416528480396
333.000000000000	54.1759488698794
334.000000000000	52.9133179767392
335.000000000000	51.6550706942524
336.000000000000	50.4026233778766
337.000000000000	49.1575048501243
338.000000000000	47.9213630256420
339.000000000000	46.6959713551382
340.000000000000	45.4832348633617
341.000000000000	44.2851954893523
342.000000000000	43.1040363588628
343.000000000000	41.9420845300209
344.000000000000	40.8018116567380
345.000000000000	39.6858319151092
346.000000000000	38.5968964446318
347.000000000000	37.5378834809265
348.000000000000	36.5117833170915
349.000000000000	35.5216772483992
350.000000000000	34.5707097549519
351.000000000000	33.6620533847754
352.000000000000	32.7988661373004
353.000000000000	31.9842416250905
354.000000000000	31.2211529019611
355.000000000000	30.5123915536602
356.000000000000	29.8605043868740
357.000000000000	29.2677307273011
358.000000000000	28.7359438318963
359.000000000000	28.2666001184528
	
	
