theta	alpha1
0.00000000000000	55.6787712190177
1.00000000000000	55.4426061235113
2.00000000000000	55.2277923374535
3.00000000000000	55.0344164540897
4.00000000000000	54.8625296050252
5.00000000000000	54.7121478231891
6.00000000000000	54.5832526207520
7.00000000000000	54.4757917715917
8.00000000000000	54.3896802852336
9.00000000000000	54.3248015568366
10.0000000000000	54.2810086758366
11.0000000000000	54.2581258743362
12.0000000000000	54.2559500952179
13.0000000000000	54.2742526593086
14.0000000000000	54.3127810106951
15.0000000000000	54.3712605194623
16.0000000000000	54.4493963216868
17.0000000000000	54.5468751773808
18.0000000000000	54.6633673282532
19.0000000000000	54.7985283385250
20.0000000000000	54.9520009036032
21.0000000000000	55.1234166130809
22.0000000000000	55.3123976562925
23.0000000000000	55.5185584604100
24.0000000000000	55.7415072528250
25.0000000000000	55.9808475412529
26.0000000000000	56.2361795066232
27.0000000000000	56.5071013053180
28.0000000000000	56.7932102787108
29.0000000000000	57.0941040692210
30.0000000000000	57.4093816431927
31.0000000000000	57.7386442218929
32.0000000000000	58.0814961227403
33.0000000000000	58.4375455135688
34.0000000000000	58.8064050832945
35.0000000000000	59.1876926327900
36.0000000000000	59.5810315901051
37.0000000000000	59.9860514543994
38.0000000000000	60.4023881730952
39.0000000000000	60.8296844568325
40.0000000000000	61.2675900367943
41.0000000000000	61.7157618689227
42.0000000000000	62.1738642894461
43.0000000000000	62.6415691259869
44.0000000000000	63.1185557683657
45.0000000000000	63.6045112030106
46.0000000000000	64.0991300146872
47.0000000000000	64.6021143590407
48.0000000000000	65.1131739092189
49.0000000000000	65.6320257796224
50.0000000000000	66.1583944296070
51.0000000000000	66.6920115497378
52.0000000000000	67.2326159329903
53.0000000000000	67.7799533330850
54.0000000000000	68.3337763119438
55.0000000000000	68.8938440780793
56.0000000000000	69.4599223175436
57.0000000000000	70.0317830189069
58.0000000000000	70.6092042935784
59.0000000000000	71.1919701926406
60.0000000000000	71.7798705212397
61.0000000000000	72.3727006514479
62.0000000000000	72.9702613344067
63.0000000000000	73.5723585124576
64.0000000000000	74.1788031318699
65.0000000000000	74.7894109566968
66.0000000000000	75.4040023842108
67.0000000000000	76.0224022622991
68.0000000000000	76.6444397091427
69.0000000000000	77.2699479354402
70.0000000000000	77.8987640693946
71.0000000000000	78.5307289846289
72.0000000000000	79.1656871311645
73.0000000000000	79.8034863695561
74.0000000000000	80.4439778082462
75.0000000000000	81.0870156441791
76.0000000000000	81.7324570066842
77.0000000000000	82.3801618046247
78.0000000000000	83.0299925767830
79.0000000000000	83.6818143454442
80.0000000000000	84.3354944731229
81.0000000000000	84.9909025223696
82.0000000000000	85.6479101185797
83.0000000000000	86.3063908157281
84.0000000000000	86.9662199649381
85.0000000000000	87.6272745857933
86.0000000000000	88.2894332402986
87.0000000000000	88.9525759093912
88.0000000000000	89.6165838719026
89.0000000000000	90.2813395858726
90.0000000000000	90.9467265721166
91.0000000000000	91.6126292999489
92.0000000000000	92.2789330749660
93.0000000000000	92.9455239287968
94.0000000000000	93.6122885107324
95.0000000000000	94.2791139811467
96.0000000000000	94.9458879066308
97.0000000000000	95.6124981567618
98.0000000000000	96.2788328024377
99.0000000000000	96.9447800157143
100.000000000000	97.6102279710874
101.000000000000	98.2750647481689
102.000000000000	98.9391782357147
103.000000000000	99.6024560369764
104.000000000000	100.264785376343
105.000000000000	100.926053007264
106.000000000000	101.586145121456
107.000000000000	102.244947259379
108.000000000000	102.902344222029
109.000000000000	103.558219984054
110.000000000000	104.212457608252
111.000000000000	104.864939161506
112.000000000000	105.515545632224
113.000000000000	106.164156849385
114.000000000000	106.810651403287
115.000000000000	107.454906568123
116.000000000000	108.096798226532
117.000000000000	108.736200796283
118.000000000000	109.372987159269
119.000000000000	110.007028593025
120.000000000000	110.638194704990
121.000000000000	111.266353369758
122.000000000000	111.891370669598
123.000000000000	112.513110838534
124.000000000000	113.131436210312
125.000000000000	113.746207170597
126.000000000000	114.357282113780
127.000000000000	114.964517404793
128.000000000000	115.567767346355
129.000000000000	116.166884152113
130.000000000000	116.761717926146
131.000000000000	117.352116649346
132.000000000000	117.937926173192
133.000000000000	118.518990221485
134.000000000000	119.095150400593
135.000000000000	119.666246218812
136.000000000000	120.232115115440
137.000000000000	120.792592500177
138.000000000000	121.347511803467
139.000000000000	121.896704538422
140.000000000000	122.440000374927
141.000000000000	122.977227226553
142.000000000000	123.508211350854
143.000000000000	124.032777463634
144.000000000000	124.550748867699
145.000000000000	125.061947596601
146.000000000000	125.566194573798
147.000000000000	126.063309787624
148.000000000000	126.553112482339
149.000000000000	127.035421365508
150.000000000000	127.510054831788
151.000000000000	127.976831203161
152.000000000000	128.435568985463
153.000000000000	128.886087140983
154.000000000000	129.328205376715
155.000000000000	129.761744447715
156.000000000000	130.186526474848
157.000000000000	130.602375276023
158.000000000000	131.009116709845
159.000000000000	131.406579030431
160.000000000000	131.794593251948
161.000000000000	132.172993521234
162.000000000000	132.541617496709
163.000000000000	132.900306731585
164.000000000000	133.248907059226
165.000000000000	133.587268978374
166.000000000000	133.915248035798
167.000000000000	134.232705203839
168.000000000000	134.539507250209
169.000000000000	134.835527097378
170.000000000000	135.120644168809
171.000000000000	135.394744719341
172.000000000000	135.657722147040
173.000000000000	135.909477283912
174.000000000000	136.149918662986
175.000000000000	136.378962759406
176.000000000000	136.596534203380
177.000000000000	136.802565963019
178.000000000000	136.996999495339
179.000000000000	137.179784864014
180.000000000000	137.350880822715
181.000000000000	137.510254863194
182.000000000000	137.657883227636
183.000000000000	137.793750885080
184.000000000000	137.917851472108
185.000000000000	138.030187198273
186.000000000000	138.130768717152
187.000000000000	138.219614964115
188.000000000000	138.296752962304
189.000000000000	138.362217598501
190.000000000000	138.416051370868
191.000000000000	138.458304110723
192.000000000000	138.489032680698
193.000000000000	138.508300651794
194.000000000000	138.516177961926
195.000000000000	138.512740558643
196.000000000000	138.498070028746
197.000000000000	138.472253217510
198.000000000000	138.435381840222
199.000000000000	138.387552088647
200.000000000000	138.328864234977
201.000000000000	138.259422235695
202.000000000000	138.179333337650
203.000000000000	138.088707688498
204.000000000000	137.987657953499
205.000000000000	137.876298940482
206.000000000000	137.754747234605
207.000000000000	137.623120844373
208.000000000000	137.481538860172
209.000000000000	137.330121126391
210.000000000000	137.168987928046
211.000000000000	136.998259692630
212.000000000000	136.818056707754
213.000000000000	136.628498854978
214.000000000000	136.429705360112
215.000000000000	136.221794560098
216.000000000000	136.004883686497
217.000000000000	135.779088665462
218.000000000000	135.544523934013
219.000000000000	135.301302272310
220.000000000000	135.049534651587
221.000000000000	134.789330097295
222.000000000000	134.520795567007
223.000000000000	134.244035842547
224.000000000000	133.959153435806
225.000000000000	133.666248507664
226.000000000000	133.365418799432
227.000000000000	133.056759576214
228.000000000000	132.740363581585
229.000000000000	132.416321002991
230.000000000000	132.084719447278
231.000000000000	131.745643925776
232.000000000000	131.399176848366
233.000000000000	131.045398026001
234.000000000000	130.684384681147
235.000000000000	130.316211465657
236.000000000000	129.940950485598
237.000000000000	129.558671332585
238.000000000000	129.169441121212
239.000000000000	128.773324532179
240.000000000000	128.370383860754
241.000000000000	127.960679070243
242.000000000000	127.544267850152
243.000000000000	127.121205678761
244.000000000000	126.691545889871
245.000000000000	126.255339743478
246.000000000000	125.812636500191
247.000000000000	125.363483499209
248.000000000000	124.907926239708
249.000000000000	124.446008465513
250.000000000000	123.977772252942
251.000000000000	123.503258101744
252.000000000000	123.022505029070
253.000000000000	122.535550666417
254.000000000000	122.042431359543
255.000000000000	121.543182271321
256.000000000000	121.037837487561
257.000000000000	120.526430125809
258.000000000000	120.008992447178
259.000000000000	119.485555971249
260.000000000000	118.956151594133
261.000000000000	118.420809709744
262.000000000000	117.879560334406
263.000000000000	117.332433234886
264.000000000000	116.779458059957
265.000000000000	116.220664475635
266.000000000000	115.656082304216
267.000000000000	115.085741667241
268.000000000000	114.509673132570
269.000000000000	113.927907865682
270.000000000000	113.340477785403
271.000000000000	112.747415724193
272.000000000000	112.148755593190
273.000000000000	111.544532552178
274.000000000000	110.934783184644
275.000000000000	110.319545678130
276.000000000000	109.698860010026
277.000000000000	109.072768139016
278.000000000000	108.441314202321
279.000000000000	107.804544718941
280.000000000000	107.162508799041
281.000000000000	106.515258359658
282.000000000000	105.862848346869
283.000000000000	105.205336964573
284.000000000000	104.542785910017
285.000000000000	103.875260616167
286.000000000000	103.202830501046
287.000000000000	102.525569224099
288.000000000000	101.843554949646
289.000000000000	101.156870617465
290.000000000000	100.465604220480
291.000000000000	99.7698490895551
292.000000000000	99.0697041852966
293.000000000000	98.3652743967661
294.000000000000	97.6566708469445
295.000000000000	96.9440112047370
296.000000000000	96.2274200032516
297.000000000000	95.5070289640223
298.000000000000	94.7829773267740
299.000000000000	94.0554121842582
300.000000000000	93.3244888215923
301.000000000000	92.5903710594522
302.000000000000	91.8532316003658
303.000000000000	91.1132523772430
304.000000000000	90.3706249031596
305.000000000000	89.6255506212883
306.000000000000	88.8782412537260
307.000000000000	88.1289191478204
308.000000000000	87.3778176184383
309.000000000000	86.6251812844488
310.000000000000	85.8712663975094
311.000000000000	85.1163411610535
312.000000000000	84.3606860371732
313.000000000000	83.6045940388777
314.000000000000	82.8483710049845
315.000000000000	82.0923358546709
316.000000000000	81.3368208184733
317.000000000000	80.5821716422821
318.000000000000	79.8287477606311
319.000000000000	79.0769224353373
320.000000000000	78.3270828553096
321.000000000000	77.5796301931035
322.000000000000	76.8349796135904
323.000000000000	76.0935602298982
324.000000000000	75.3558150016202
325.000000000000	74.6222005701282
326.000000000000	73.8931870257412
327.000000000000	73.1692576014461
328.000000000000	72.4509082878714
329.000000000000	71.7386473643072
330.000000000000	71.0329948407170
331.000000000000	70.3344818059512
332.000000000000	69.6436496777301
333.000000000000	68.9610493504424
334.000000000000	68.2872402374078
335.000000000000	67.6227892049923
336.000000000000	66.9682693968402
337.000000000000	66.3242589475190
338.000000000000	65.6913395860482
339.000000000000	65.0700951310959
340.000000000000	64.4611098810988
341.000000000000	63.8649669041427
342.000000000000	63.2822462341296
343.000000000000	62.7135229815575
344.000000000000	62.1593653690608
345.000000000000	61.6203327037245
346.000000000000	61.0969733000238
347.000000000000	60.5898223690018
348.000000000000	60.0993998909509
349.000000000000	59.6262084903353
350.000000000000	59.1707313329355
351.000000000000	58.7334300661632
352.000000000000	58.3147428241260
353.000000000000	57.9150823192809
354.000000000000	57.5348340423618
355.000000000000	57.1743545916826
356.000000000000	56.8339701518800
357.000000000000	56.5139751406858
358.000000000000	56.2146310404097
359.000000000000	55.9361654285149
