theta	alpha1
0.00000000000000	79.2297293000036
1.00000000000000	79.1233790556336
2.00000000000000	79.0240489981939
3.00000000000000	78.9317780709813
4.00000000000000	78.8466009554279
5.00000000000000	78.7685480558326
6.00000000000000	78.6976454915653
7.00000000000000	78.6339150966937
8.00000000000000	78.5773744269494
9.00000000000000	78.5280367739248
10.0000000000000	78.4859111863639
11.0000000000000	78.4510024983763
12.0000000000000	78.4233113643898
13.0000000000000	78.4028343006216
14.0000000000000	78.3895637328329
15.0000000000000	78.3834880501080
16.0000000000000	78.3845916643807
17.0000000000000	78.3928550754136
18.0000000000000	78.4082549409238
19.0000000000000	78.4307641515316
20.0000000000000	78.4603519102012
21.0000000000000	78.4969838158346
22.0000000000000	78.5406219506696
23.0000000000000	78.5912249711331
24.0000000000000	78.6487482017965
25.0000000000000	78.7131437320788
26.0000000000000	78.7843605153473
27.0000000000000	78.8623444700644
28.0000000000000	78.9470385826421
29.0000000000000	79.0383830116611
30.0000000000000	79.1363151931314
31.0000000000000	79.2407699464704
32.0000000000000	79.3516795808925
33.0000000000000	79.4689740019119
34.0000000000000	79.5925808176724
35.0000000000000	79.7224254448341
36.0000000000000	79.8584312137604
37.0000000000000	80.0005194727590
38.0000000000000	80.1486096911520
39.0000000000000	80.3026195609607
40.0000000000000	80.4624650970077
41.0000000000000	80.6280607352548
42.0000000000000	80.7993194292110
43.0000000000000	80.9761527442573
44.0000000000000	81.1584709497545
45.0000000000000	81.3461831088134
46.0000000000000	81.5391971656187
47.0000000000000	81.7374200302160
48.0000000000000	81.9407576606846
49.0000000000000	82.1491151426274
50.0000000000000	82.3623967659287
51.0000000000000	82.5805060987376
52.0000000000000	82.8033460586474
53.0000000000000	83.0308189810557
54.0000000000000	83.2628266846932
55.0000000000000	83.4992705343262
56.0000000000000	83.7400515006417
57.0000000000000	83.9850702173355
58.0000000000000	84.2342270354280
59.0000000000000	84.4874220748437
60.0000000000000	84.7445552732935
61.0000000000000	85.0055264325063
62.0000000000000	85.2702352618607
63.0000000000000	85.5385814194755
64.0000000000000	85.8104645508166
65.0000000000000	86.0857843248870
66.0000000000000	86.3644404680668
67.0000000000000	86.6463327956726
68.0000000000000	86.9313612413121
69.0000000000000	87.2194258841065
70.0000000000000	87.5104269738569
71.0000000000000	87.8042649542362
72.0000000000000	88.1008404840807
73.0000000000000	88.4000544568650
74.0000000000000	88.7018080184381
75.0000000000000	89.0060025831017
76.0000000000000	89.3125398481098
77.0000000000000	89.6213218066724
78.0000000000000	89.9322507595386
79.0000000000000	90.2452293252425
80.0000000000000	90.5601604490853
81.0000000000000	90.8769474109360
82.0000000000000	91.1954938319225
83.0000000000000	91.5157036800909
84.0000000000000	91.8374812751068
85.0000000000000	92.1607312920699
86.0000000000000	92.4853587645162
87.0000000000000	92.8112690866742
88.0000000000000	93.1383680150482
89.0000000000000	93.4665616693923
90.0000000000000	93.7957565331436
91.0000000000000	94.1258594533778
92.0000000000000	94.4567776403511
93.0000000000000	94.7884186666891
94.0000000000000	95.1206904662837
95.0000000000000	95.4535013329561
96.0000000000000	95.7867599189436
97.0000000000000	96.1203752332650
98.0000000000000	96.4542566400203
99.0000000000000	96.7883138566762
100.000000000000	97.1224569523903
101.000000000000	97.4565963464222
102.000000000000	97.7906428066812
103.000000000000	98.1245074484587
104.000000000000	98.4581017333885
105.000000000000	98.7913374686814
106.000000000000	99.1241268066772
107.000000000000	99.4563822447527
108.000000000000	99.7880166256304
109.000000000000	100.118943138122
110.000000000000	100.449075318346
111.000000000000	100.778327051455
112.000000000000	101.106612573908
113.000000000000	101.433846476316
114.000000000000	101.759943706897
115.000000000000	102.084819575562
116.000000000000	102.408389758677
117.000000000000	102.730570304501
118.000000000000	103.051277639348
119.000000000000	103.370428574479
120.000000000000	103.687940313755
121.000000000000	104.003730462069
122.000000000000	104.317717034557
123.000000000000	104.629818466631
124.000000000000	104.939953624821
125.000000000000	105.248041818450
126.000000000000	105.554002812141
127.000000000000	105.857756839177
128.000000000000	106.159224615689
129.000000000000	106.458327355709
130.000000000000	106.754986787048
131.000000000000	107.049125168029
132.000000000000	107.340665305042
133.000000000000	107.629530570918
134.000000000000	107.915644924121
135.000000000000	108.198932928725
136.000000000000	108.479319775165
137.000000000000	108.756731301740
138.000000000000	109.031094016845
139.000000000000	109.302335121900
140.000000000000	109.570382534944
141.000000000000	109.835164914871
142.000000000000	110.096611686253
143.000000000000	110.354653064732
144.000000000000	110.609220082917
145.000000000000	110.860244616752
146.000000000000	111.107659412308
147.000000000000	111.351398112944
148.000000000000	111.591395286775
149.000000000000	111.827586454410
150.000000000000	112.059908116882
151.000000000000	112.288297783719
152.000000000000	112.512694001092
153.000000000000	112.733036379972
154.000000000000	112.949265624229
155.000000000000	113.161323558613
156.000000000000	113.369153156530
157.000000000000	113.572698567564
158.000000000000	113.771905144659
159.000000000000	113.966719470887
160.000000000000	114.157089385749
161.000000000000	114.342964010911
162.000000000000	114.524293775324
163.000000000000	114.701030439650
164.000000000000	114.873127119916
165.000000000000	115.040538310347
166.000000000000	115.203219905286
167.000000000000	115.361129220161
168.000000000000	115.514225011412
169.000000000000	115.662467495342
170.000000000000	115.805818365812
171.000000000000	115.944240810741
172.000000000000	116.077699527356
173.000000000000	116.206160736141
174.000000000000	116.329592193449
175.000000000000	116.447963202727
176.000000000000	116.561244624332
177.000000000000	116.669408883901
178.000000000000	116.772429979250
179.000000000000	116.870283485782
180.000000000000	116.962946560387
181.000000000000	117.050397943833
182.000000000000	117.132617961627
183.000000000000	117.209588523361
184.000000000000	117.281293120539
185.000000000000	117.347716822902
186.000000000000	117.408846273263
187.000000000000	117.464669680870
188.000000000000	117.515176813337
189.000000000000	117.560358987156
190.000000000000	117.600209056836
191.000000000000	117.634721402708
192.000000000000	117.663891917445
193.000000000000	117.687717991332
194.000000000000	117.706198496358
195.000000000000	117.719333769172
196.000000000000	117.727125592972
197.000000000000	117.729577178381
198.000000000000	117.726693143392
199.000000000000	117.718479492432
200.000000000000	117.704943594633
201.000000000000	117.686094161370
202.000000000000	117.661941223150
203.000000000000	117.632496105926
204.000000000000	117.597771406909
205.000000000000	117.557780969960
206.000000000000	117.512539860647
207.000000000000	117.462064341025
208.000000000000	117.406371844241
209.000000000000	117.345480949034
210.000000000000	117.279411354196
211.000000000000	117.208183853087
212.000000000000	117.131820308270
213.000000000000	117.050343626340
214.000000000000	116.963777733027
215.000000000000	116.872147548628
216.000000000000	116.775478963852
217.000000000000	116.673798816140
218.000000000000	116.567134866512
219.000000000000	116.455515777020
220.000000000000	116.338971088855
221.000000000000	116.217531201163
222.000000000000	116.091227350633
223.000000000000	115.960091591897
224.000000000000	115.824156778793
225.000000000000	115.683456546535
226.000000000000	115.538025294839
227.000000000000	115.387898172030
228.000000000000	115.233111060174
229.000000000000	115.073700561270
230.000000000000	114.909703984523
231.000000000000	114.741159334729
232.000000000000	114.568105301802
233.000000000000	114.390581251448
234.000000000000	114.208627217019
235.000000000000	114.022283892557
236.000000000000	113.831592627032
237.000000000000	113.636595419801
238.000000000000	113.437334917273
239.000000000000	113.233854410801
240.000000000000	113.026197835800
241.000000000000	112.814409772079
242.000000000000	112.598535445395
243.000000000000	112.378620730222
244.000000000000	112.154712153717
245.000000000000	111.926856900889
246.000000000000	111.695102820933
247.000000000000	111.459498434748
248.000000000000	111.220092943590
249.000000000000	110.976936238852
250.000000000000	110.730078912964
251.000000000000	110.479572271357
252.000000000000	110.225468345502
253.000000000000	109.967819906961
254.000000000000	109.706680482451
255.000000000000	109.442104369863
256.000000000000	109.174146655219
257.000000000000	108.902863230523
258.000000000000	108.628310812465
259.000000000000	108.350546961950
260.000000000000	108.069630104390
261.000000000000	107.785619550727
262.000000000000	107.498575519142
263.000000000000	107.208559157384
264.000000000000	106.915632565691
265.000000000000	106.619858820220
266.000000000000	106.321301996962
267.000000000000	106.020027196047
268.000000000000	105.716100566411
269.000000000000	105.409589330738
270.000000000000	105.100561810618
271.000000000000	104.789087451849
272.000000000000	104.475236849819
273.000000000000	104.159081774879
274.000000000000	103.840695197641
275.000000000000	103.520151314116
276.000000000000	103.197525570606
277.000000000000	102.872894688265
278.000000000000	102.546336687246
279.000000000000	102.217930910332
280.000000000000	101.887758045959
281.000000000000	101.555900150536
282.000000000000	101.222440669961
283.000000000000	100.887464460221
284.000000000000	100.551057806983
285.000000000000	100.213308444050
286.000000000000	99.8743055705857
287.000000000000	99.5341398669848
288.000000000000	99.1929035092720
289.000000000000	98.8506901819129
290.000000000000	98.5075950889151
291.000000000000	98.1637149630947
292.000000000000	97.8191480733850
293.000000000000	97.4739942300599
294.000000000000	97.1283547877463
295.000000000000	96.7823326460946
296.000000000000	96.4360322479816
297.000000000000	96.0895595751143
298.000000000000	95.7430221409093
299.000000000000	95.3965289805167
300.000000000000	95.0501906378654
301.000000000000	94.7041191496025
302.000000000000	94.3584280258069
303.000000000000	94.0132322273557
304.000000000000	93.6686481398297
305.000000000000	93.3247935438440
306.000000000000	92.9817875816993
307.000000000000	92.6397507202516
308.000000000000	92.2988047099047
309.000000000000	91.9590725396400
310.000000000000	91.6206783880001
311.000000000000	91.2837475699604
312.000000000000	90.9484064796203
313.000000000000	90.6147825286690
314.000000000000	90.2830040805804
315.000000000000	89.9532003805125
316.000000000000	89.6255014808941
317.000000000000	89.3000381626974
318.000000000000	88.9769418524082
319.000000000000	88.6563445347234
320.000000000000	88.3383786610167
321.000000000000	88.0231770536358
322.000000000000	87.7108728061047
323.000000000000	87.4015991793303
324.000000000000	87.0954894939236
325.000000000000	86.7926770187676
326.000000000000	86.4932948559865
327.000000000000	86.1974758224809
328.000000000000	85.9053523282226
329.000000000000	85.6170562515164
330.000000000000	85.3327188114577
331.000000000000	85.0524704378309
332.000000000000	84.7764406387173
333.000000000000	84.5047578660918
334.000000000000	84.2375493797158
335.000000000000	83.9749411096359
336.000000000000	83.7170575176284
337.000000000000	83.4640214579337
338.000000000000	83.2159540376424
339.000000000000	82.9729744771055
340.000000000000	82.7351999707518
341.000000000000	82.5027455487047
342.000000000000	82.2757239395962
343.000000000000	82.0542454349815
344.000000000000	81.8384177557603
345.000000000000	81.6283459210118
346.000000000000	81.4241321196504
347.000000000000	81.2258755853019
348.000000000000	81.0336724747985
349.000000000000	80.8476157506791
350.000000000000	80.6677950680735
351.000000000000	80.4942966663356
352.000000000000	80.3272032657754
353.000000000000	80.1665939698227
354.000000000000	80.0125441729379
355.000000000000	79.8651254745598
356.000000000000	79.7244055993652
357.000000000000	79.5904483240817
358.000000000000	79.4633134110751
359.000000000000	79.3430565489040
	
	
