time	r10	r15	r20	r25	r30	r35	r40
2.52				0.066			
3.80				0.407			
4.68				0.745			
5.44				1.097			
6.12				1.451			
6.96				1.805			
7.76				2.149			
8.48				2.524			
9.08				2.869			
9.64				3.236			
10.12				3.581			
10.60				3.957			
11.08				4.308			
11.52				4.645			
11.96				5.025			
12.40				5.374			
