time	r10	r15	r20	r25	r30	r35	r40
0.06					0.002		
0.70					0.089		
1.10					0.195		
1.62					0.308		
2.14					0.470		
2.38					0.586		
2.66					0.674		
3.38					1.005		
3.98					1.357		
4.50					1.696		
5.02					2.061		
5.50					2.413		
5.94					2.769		
6.38					3.131		
6.78					3.479		
7.18					3.855		
7.58					4.215		
7.98					4.559		
8.34					4.935		
8.70					5.271		
