time	r10	r15	r20	r25	r30	r35	r40
3.12						0.083	
4.36						0.433	
5.12						0.761	
5.72						1.116	
6.24						1.467	
6.76						1.827	
7.20						2.184	
7.60						2.522	
8.04						2.883	
8.44						3.234	
8.80						3.590	
9.20						3.939	
9.56						4.292	
9.92						4.650	
10.32						5.014	
10.64						5.346	
